Group,ORIGIN,value
root,,
European Union,Greece,1428
European Union,Spain,347019
European Union,France,206972
European Union,Martinique,151630
European Union,Guadeloupe,55342
European Union,Cyprus,2169
European Union,Portugal,25591
ACP countries,C̫te d'Ivoire,290688
ACP countries,Dominican Republic,261041
ACP countries,Cameroon,171507
ACP countries,Ghana,53084
ACP countries,Belize,29829
ACP countries,Angola,10730
ACP countries,Suriname,
ACP countries,Other,194
Latin America,Ecuador,1425770
Latin America,Colombia,1208398
Latin America,Costa Rica,1056623
Latin America,Panama,180657
Latin America,Guatemala,172539
Latin America,Peru,80888
Latin America,Nicaragua,43957
Latin America,Mexico,3567
Latin America,Brazil,5532
Latin America,Honduras,547
Latin America,Others,0